experiment_num,candidates_origin_type,candidates_coref_extraction_strategy,candidates_change_head,candidates_phrase_extension,dataset,candidates_annot_index,entities_method,entities_param_source,entities_custom_file_id,entities_word_vectors
1,annotated,NO_COREF,orig,asis,newswcl50,0,lemma,default,0,
2,annotated,one_doc,orig,asis,newswcl50,0,eecdcr,default,0,glove
3,annotated,one_doc,NON_NUMBER,EXTENDED,newswcl50,0,tca_orig,default,0,word2vec
4,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref_base,default,0,glove
4,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref_base,default,0,fasttext
4,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref_base,default,0,word2vec
5,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,glove
5,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,fasttext
5,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,word2vec
