,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support
CFi6tpqe8y9VS7Spy5LSod,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,GROUP,0.82962963,0.439215686,0.574358974,0.333003883,0.303501387,0.317568904,0.339579435,0.067915887,0.113193145,0.335040341,417
UatKTYA6JdZZ4P7o9NDFMm,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,MISC,0.745054945,0.307343608,0.435173299,0.358604553,0.229421693,0.2798231,0.382381172,0.0505628,0.08931531,0.268103903,471
XuvFKw9vSnGCBZM4btWe25,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,OBJECT,0.780600462,0.459863946,0.578767123,0.340799361,0.424179376,0.377945303,0.537103948,0.077520158,0.135485681,0.364066036,447
YUZXUCz9kjgm4o9x9kWS6R,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,ACTION,0.860869565,0.245049505,0.38150289,0.693474253,0.107108261,0.185556941,0.363599516,0.090899879,0.145439807,0.237499879,120
JGPSxUbjAT7XmtWbHm2qGZ,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,ACTOR,0.926412615,0.585062241,0.717192269,0.805592836,0.534177023,0.642392691,0.85165054,0.431822809,0.57307326,0.644219407,797
iiJgsQvA4UmuY8fYTycF8d,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,COUNTRY,0.688628159,0.363506432,0.475834113,0.252247972,0.360023827,0.296650214,0.58628695,0.083226854,0.145761949,0.306082092,1153
dLjiVHZCzVc969awUp69qD,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,EVENT,0.794805195,0.293666027,0.428871759,0.534717704,0.207962154,0.299458897,0.468961442,0.123102379,0.195013669,0.307781442,406
TrQS2vaLFAFj2hQwaDKqiD,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,GROUP,0.834567901,0.539936102,0.655674103,0.285328563,0.412024446,0.337167379,0.380457294,0.076091459,0.126819098,0.373220193,417
heBL6EHc6K2yg8owGxk8cn,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,MISC,0.762637363,0.333013436,0.463593854,0.363109608,0.240509747,0.289359177,0.352321219,0.053180561,0.092412123,0.281788385,471
MPKwvpUris7XQrqPYP68zP,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,OBJECT,0.799076212,0.546603476,0.649155722,0.411531769,0.488600978,0.446767047,0.555515978,0.08453504,0.14674007,0.414220947,447
hNUmpi2BkqvA29SPxEv8ai,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,ACTION,0.565217391,0.35326087,0.434782609,0.217975146,0.408464796,0.284257652,0.403117503,0.037325695,0.068325,0.262455087,120
aB7jXHbGY7MGCJa4eUVX45,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,ACTOR,0.914586071,0.755700326,0.827586207,0.798217475,0.71282335,0.753107454,0.889706987,0.36397104,0.516604057,0.699099239,797
CmQPJwXD4iNmWRFzfEr9b2,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,COUNTRY,0.649819495,0.506685433,0.569395018,0.241198507,0.52298088,0.330137687,0.590593196,0.072023561,0.128389825,0.342640843,1153
EjBPjiiDGsvGCV7dFiWrJZ,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,EVENT,0.646753247,0.388455538,0.485380117,0.357688016,0.38544233,0.371046891,0.537268267,0.084831832,0.146527709,0.334318239,406
AMszbgRLHa6hY47wHvGWzp,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,GROUP,0.804938272,0.672164948,0.73258427,0.273535609,0.526881384,0.360114345,0.457124153,0.075143696,0.129070349,0.407256321,417
WsWL4cqxevex9PpkxyGpWp,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,MISC,0.49010989,0.36738056,0.419962335,0.120932578,0.477752777,0.193009147,0.336640262,0.023418453,0.043790603,0.218920695,471
jH3XXGWMBDZkZobG4u8Csh,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,OBJECT,0.720554273,0.672413793,0.695652174,0.318086631,0.662225231,0.429750982,0.554992752,0.061665861,0.11099855,0.412133902,447
g54LK9w6y8kLBBpphJS6n3,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,ACTION,0.591304348,0.165450122,0.258555133,0.183389782,0.145293604,0.162133917,0.341795004,0.035603646,0.064489623,0.161726225,120
cbKxXJLdhCfuXjEN2rtWV9,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,ACTOR,0.922470434,0.622892635,0.743644068,0.789543898,0.569290709,0.661566909,0.871233109,0.418191893,0.565124179,0.656778385,797
99Gdi9Lg5tByLNhpoWmT4X,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,COUNTRY,0.670577617,0.408017573,0.507340389,0.233661105,0.396099118,0.293930782,0.554284172,0.077703389,0.136299387,0.312523519,1153
i6fzXtUyusxVyXwp3o56Wx,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,EVENT,0.761038961,0.328107503,0.458528951,0.504394171,0.204791323,0.291307564,0.383278569,0.090436516,0.146342726,0.298726414,406
7GhLrabYThzUmMi7uPqg2K,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,GROUP,0.725925926,0.450920245,0.556291391,0.217978165,0.413172032,0.285391597,0.386200394,0.046344047,0.082757227,0.308146738,417
4ZQkRHDPrbBp64qqJ3wwMA,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,MISC,0.604395604,0.262154433,0.365691489,0.181003187,0.233819495,0.204048986,0.31974022,0.031194168,0.056842706,0.20886106,471
kEVMjCkbpsdDwstKBtLj4U,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,OBJECT,0.801385681,0.431055901,0.560581583,0.425902665,0.362344376,0.39156109,0.577972417,0.086080998,0.149844701,0.367329125,447
VZAvK2FU22emjJUMLXFcne,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,ACTION,0.72173913,0.220744681,0.33808554,0.315437784,0.142331431,0.196154349,0.427588794,0.062880705,0.109638152,0.214626014,120
Y7qFam3wXc6xMm2X3Jdtvp,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,ACTOR,0.927726675,0.641235241,0.758324382,0.805668879,0.581991539,0.675802905,0.859366589,0.423797222,0.567654995,0.667260761,797
LxzSD2YgHf8bX6rudQzzuL,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,COUNTRY,0.663357401,0.379256966,0.482600131,0.237960676,0.38646802,0.29455466,0.544568976,0.072287917,0.127633354,0.301596048,1153
XMBZ2EMvWpUQqCWUKt8aEf,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,EVENT,0.776623377,0.33038674,0.463565891,0.53854454,0.202054927,0.293858104,0.401416144,0.096893552,0.156106278,0.304510091,406
HQBcT7kUeD2iGa4obymy29,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,GROUP,0.740740741,0.570342205,0.644468314,0.198553688,0.50138772,0.284459185,0.381062949,0.048646334,0.086278404,0.338401967,417
EB47APkLWDCHXjvVcmLHsM,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,MISC,0.659340659,0.291828794,0.4045853,0.198070139,0.250947049,0.221395163,0.325854341,0.035710065,0.06436629,0.230115584,471
54oKAhiNF4X8NxpJetx2GY,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,OBJECT,0.812933025,0.590604027,0.684159378,0.477903954,0.46533884,0.471537706,0.544983182,0.09083053,0.155709481,0.437135522,447
5GQ3unCSbqSWfFFNU8GV5D,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,ACTION,0.565217391,0.296803653,0.389221557,0.23926332,0.297545309,0.26524044,0.404997702,0.038942087,0.071052228,0.241838075,120
JxmUM46dGKFzeweFFdNFd2,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,ACTOR,0.91195795,0.762637363,0.830640335,0.797998102,0.724758114,0.759616797,0.894336617,0.357734647,0.511049495,0.700435542,797
5BhWmUPsGD3PQBtpeZXmha,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,COUNTRY,0.591155235,0.510124611,0.547658863,0.220860466,0.569518037,0.318288058,0.589152567,0.061087248,0.110696724,0.325547882,1153
j7xyqD4csr3c49uuVUn3MZ,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,EVENT,0.722077922,0.479310345,0.576165803,0.472880085,0.398179432,0.432326655,0.544779296,0.099481437,0.168240665,0.392244374,406
DEeYB5uUvMxQRBtfLwxdzr,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,GROUP,0.607407407,0.723529412,0.660402685,0.138330377,0.718166778,0.231978077,0.469585874,0.036591107,0.067891934,0.320090898,417
gfHb2cuQPjPds7zLUsrbEi,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,MISC,0.505494505,0.362204724,0.422018349,0.176318033,0.47042452,0.256498744,0.37135414,0.026644243,0.049721056,0.24274605,471
MbnYPKbwq64kaQS9NoqEgX,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,OBJECT,0.787528868,0.771493213,0.779428571,0.446957771,0.700223824,0.545633718,0.603813846,0.084533938,0.148305155,0.491122481,447
PmeAsACgDWbKcogtg472FZ,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,ACTION,0.474576271,0.24137931,0.32,0.136073551,0.350520848,0.196042604,0.349973418,0.031340903,0.057529877,0.191190827,124
kA6ovAJVDKyVRk4DUohcFm,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,ACTOR,0.933744222,0.813969107,0.869752422,0.671742238,0.78533645,0.724111428,0.836677607,0.286860894,0.427239629,0.67370116,1334
6GXH8TqgK7gtz6spa6bJEi,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,COUNTRY,0.706907682,0.66283293,0.6841612,0.249867816,0.666158868,0.363420989,0.59729657,0.062074701,0.112461697,0.386681295,1594
JDH7WSCb2EjW78A8n2iY3H,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,EVENT,0.73125,0.638181818,0.681553398,0.442707598,0.577372489,0.501151216,0.564682557,0.092709077,0.159269439,0.447324684,502
BtGnws8fcK7ReXDsn6L9Hb,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,GROUP,0.748490946,0.716763006,0.732283465,0.174248772,0.687685598,0.278045232,0.537985933,0.053353977,0.097080168,0.369136288,509
iNwAjZPMCo2Vo3VXhyb4bR,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,MISC,0.491053678,0.37254902,0.423670669,0.12195369,0.506402818,0.196568958,0.3259035,0.019902504,0.037514072,0.219251233,519
GVWQooSFK8qDaN224zTmAS,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,OBJECT,0.821366025,0.812824957,0.817073171,0.409050867,0.778918901,0.536406667,0.6239873,0.080145158,0.142045889,0.498508576,585
7nB6TH4EYr2hbU34tBqSj5,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,ACTION,0.478632479,0.19858156,0.280701754,0.154561249,0.286850794,0.20088268,0.368398918,0.032990948,0.060558726,0.180714387,123
kUxCxESfuNJ7p6XMKyZmus,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,ACTOR,0.90931677,0.651825467,0.7593361,0.646220453,0.562011233,0.60118131,0.726727965,0.322990207,0.447217209,0.602578206,841
