,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,step,config
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.545998911,0.904010816,0.680807738,0.305547594,0.841548422,0.448320092,0.516387027,0.044437828,0.081833456,0.403653762,step3,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.785519869,0.899625935,0.838709677,0.431117232,0.705417976,0.535166607,0.604662098,0.137377624,0.223888399,0.532588228,step4,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.41413464,0.021491078,0.040861682,0.247483443,init,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.456722918,0.910472056,0.608301613,0.273378012,0.913042264,0.420771094,0.516369775,0.035946473,0.067213928,0.365428878,step2,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.545726728,0.910949568,0.682553191,0.303996455,0.861399281,0.449396406,0.519320359,0.044190614,0.08145036,0.404466652,step3,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.792868808,0.908042394,0.846556234,0.444063504,0.721660611,0.549809575,0.612792209,0.139224764,0.226898737,0.541088182,step4,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.41413464,0.021491078,0.040861682,0.247483443,init,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec,0.445835602,0.917133259,0.6,0.270896898,0.930533175,0.419630832,0.524084676,0.035456593,0.066419612,0.362016815,step2,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec,0.534022863,0.912982783,0.673879444,0.298104328,0.883278543,0.445764304,0.532673034,0.043908668,0.081129745,0.400257831,step3,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec,0.706586826,0.897959184,0.790860625,0.36276832,0.824109515,0.50377691,0.629796292,0.093784883,0.163258452,0.485965329,step4,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.414337398,0.0215016,0.040881688,0.247490112,init,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext,0.45508982,0.904761905,0.605577689,0.269879454,0.909470557,0.416241853,0.515161825,0.035953729,0.067216352,0.363011965,step2,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext,0.525040827,0.894297636,0.661636083,0.287170983,0.865522494,0.431255924,0.515268391,0.042679425,0.078829447,0.390573818,step3,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext,0.742242787,0.873198847,0.802412829,0.387110482,0.714575899,0.502175257,0.58237143,0.115966404,0.193417905,0.49933533,step4,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.41413464,0.021491078,0.040861682,0.247483443,init,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove,0.456722918,0.910472056,0.608301613,0.273378012,0.913042264,0.420771094,0.516369775,0.035946473,0.067213928,0.365428878,step2,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove,0.527490474,0.902234637,0.665750601,0.290507394,0.874763355,0.436165111,0.514808651,0.042410574,0.078365317,0.39342701,step3,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove,0.757212847,0.885423297,0.816314554,0.406281914,0.721146953,0.51974714,0.588635164,0.120542627,0.200106743,0.512056145,step4,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.414337398,0.0215016,0.040881688,0.247490112,init,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
