,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support,step,config
AtoUMdzTEArUPXiBL73Jdc,GROUP,0.780246914,0.496855346,0.607108549,0.34784608,0.343721214,0.345771346,0.386884439,0.058767256,0.102035456,0.35163845,417,step2,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6eEZRCUveqjXZJapR7ivvJ,MISC,0.496703297,0.307482993,0.379831933,0.136153301,0.373378705,0.199542885,0.3142608,0.022751913,0.042431838,0.207268885,471,step2,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
cLM5KFumNiZuCGqx38zPwV,OBJECT,0.7852194,0.671936759,0.724174654,0.365073931,0.591424325,0.4514668,0.593568631,0.085669699,0.149729024,0.441790159,447,step2,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
WgACrHKUYKtWqF8mXHMuhg,ACTION,0.530434783,0.160104987,0.245967742,0.139914717,0.192204304,0.161943214,0.256922956,0.022148531,0.040781422,0.149564126,120,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
oNfUB9UwkbNQWXcFNoRj8J,ACTOR,0.900131406,0.706914345,0.791907514,0.714927673,0.663715475,0.688370389,0.793970477,0.314098211,0.450124995,0.643467633,797,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
bNmrLveeUmYRSGSnd6EdLy,COUNTRY,0.667267809,0.411339633,0.508940853,0.220258491,0.382116612,0.279441922,0.511564329,0.070184131,0.123433752,0.303938842,1154,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
9WHK97vWg9DrTdsThQb3vv,EVENT,0.703896104,0.4234375,0.528780488,0.429808372,0.341743372,0.380749998,0.454064107,0.08590402,0.144474943,0.351335143,406,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
AtoUMdzTEArUPXiBL73Jdc,GROUP,0.785185185,0.498432602,0.609779482,0.352289797,0.342142547,0.347142035,0.38735039,0.060366295,0.104454038,0.353791852,417,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6eEZRCUveqjXZJapR7ivvJ,MISC,0.496703297,0.306648575,0.379194631,0.136153301,0.372598518,0.1994313,0.3142608,0.022751913,0.042431838,0.207019256,471,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
cLM5KFumNiZuCGqx38zPwV,OBJECT,0.7852194,0.671936759,0.724174654,0.365073931,0.591424325,0.4514668,0.593568631,0.085669699,0.149729024,0.441790159,447,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
WgACrHKUYKtWqF8mXHMuhg,ACTION,0.539130435,0.15270936,0.238003839,0.140532001,0.173847572,0.15542452,0.256922956,0.022537101,0.041439186,0.144955849,120,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
oNfUB9UwkbNQWXcFNoRj8J,ACTOR,0.901445466,0.701431493,0.788959172,0.715294903,0.656856361,0.684831213,0.793970477,0.321156597,0.457326995,0.643705793,797,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
bNmrLveeUmYRSGSnd6EdLy,COUNTRY,0.688007214,0.408896034,0.512941176,0.256698148,0.346942427,0.295074526,0.414197579,0.063397589,0.109963959,0.305993221,1154,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
9WHK97vWg9DrTdsThQb3vv,EVENT,0.703896104,0.407518797,0.516190476,0.429808372,0.327078453,0.371471805,0.454064107,0.086684966,0.145577805,0.344413362,406,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
AtoUMdzTEArUPXiBL73Jdc,GROUP,0.785185185,0.475336323,0.592178771,0.352289797,0.327889189,0.339651822,0.38735039,0.060366295,0.104454038,0.34542821,417,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6eEZRCUveqjXZJapR7ivvJ,MISC,0.507692308,0.276978417,0.358417378,0.139402635,0.330854994,0.196156554,0.309114197,0.023003847,0.042821014,0.199131649,471,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
cLM5KFumNiZuCGqx38zPwV,OBJECT,0.792147806,0.645951036,0.711618257,0.372202749,0.552309158,0.44471247,0.581116485,0.086549264,0.150659829,0.435663519,447,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
WgACrHKUYKtWqF8mXHMuhg,ACTION,0.539130435,0.15270936,0.238003839,0.140532001,0.173847572,0.15542452,0.256922956,0.022537101,0.041439186,0.144955849,120,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
oNfUB9UwkbNQWXcFNoRj8J,ACTOR,0.901445466,0.701431493,0.788959172,0.715294903,0.656856361,0.684831213,0.793970477,0.321156597,0.457326995,0.643705793,797,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
bNmrLveeUmYRSGSnd6EdLy,COUNTRY,0.688007214,0.408896034,0.512941176,0.256698148,0.346942427,0.295074526,0.414197579,0.063397589,0.109963959,0.305993221,1154,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
9WHK97vWg9DrTdsThQb3vv,EVENT,0.703896104,0.407518797,0.516190476,0.429808372,0.327078453,0.371471805,0.454064107,0.086684966,0.145577805,0.344413362,406,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
AtoUMdzTEArUPXiBL73Jdc,GROUP,0.785185185,0.475336323,0.592178771,0.352289797,0.327889189,0.339651822,0.38735039,0.060366295,0.104454038,0.34542821,417,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6eEZRCUveqjXZJapR7ivvJ,MISC,0.507692308,0.276978417,0.358417378,0.139402635,0.330854994,0.196156554,0.309114197,0.023003847,0.042821014,0.199131649,471,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
cLM5KFumNiZuCGqx38zPwV,OBJECT,0.792147806,0.645951036,0.711618257,0.372202749,0.552309158,0.44471247,0.581116485,0.086549264,0.150659829,0.435663519,447,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0,0,0,0.041666667,0.987603306,0.079959853,0.088623855,0.003692661,0.007089908,0.029016587,120,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.657030223,0.945179584,0.775193798,0.458698443,0.948375664,0.618330532,0.701549862,0.087999286,0.156382632,0.516635654,797,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.268050542,0.72972973,0.392079208,0.107105049,0.889796049,0.191195796,0.466756106,0.026189557,0.04959628,0.210957095,1153,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.14025974,0.75,0.236323851,0.086316788,0.932729469,0.158010907,0.292595792,0.017966408,0.033854059,0.142729606,406,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.17037037,0.594827586,0.26487524,0.047975788,0.878797435,0.090984501,0.325451873,0.011588791,0.022380645,0.126080128,417,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
gDUcV4hy7jpfaBenEkD3ur,MISC,0.057142857,0.216666667,0.090434783,0.037288797,0.823179272,0.071345737,0.17437156,0.006326406,0.012209825,0.057996782,471,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.237875289,0.936363636,0.379373849,0.089312513,0.981111111,0.163721161,0.321991922,0.013258491,0.025468288,0.189521099,447,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0,0,0,0.041666667,0.987603306,0.079959853,0.088623855,0.003692661,0.007089908,0.029016587,120,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.838370565,0.88121547,0.859259259,0.666494692,0.860098237,0.751019999,0.803940112,0.200985028,0.321576045,0.643951768,797,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.44765343,0.589073634,0.508717949,0.181110543,0.683256386,0.28632501,0.49971435,0.037541145,0.069835856,0.288292938,1153,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.14025974,0.435483871,0.212180747,0.086316788,0.821576742,0.156220665,0.292595792,0.017966408,0.033854059,0.134085157,406,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.328395062,0.642512077,0.434640523,0.078913972,0.775763168,0.143255389,0.365503659,0.016244607,0.031106694,0.203000869,417,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
gDUcV4hy7jpfaBenEkD3ur,MISC,0.057142857,0.203125,0.089193825,0.037288797,0.811596927,0.071301641,0.17437156,0.006326406,0.012209825,0.05756843,471,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.247113164,0.938596491,0.391224863,0.098820343,0.981111111,0.179555353,0.336714719,0.01402978,0.026937178,0.199239131,447,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0.626086957,0.25087108,0.358208955,0.185923489,0.218579737,0.200933415,0.346238885,0.038470987,0.069247777,0.209463383,120,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
